chain	iteration	posterior	likelihood	aRP1	aRP2	aRP3	aJZ1	aJZ2	aJZ3	aTZ1	aTZ2	aTZ3	startP1	startP2	startP3	startZ1	startZ2	startZ3	fR	K	sdZ	sdP	fJ	d	W	q
0	19000	-144.002677	-144.002677	12.295264	6.070505	38.115486	170.266340	134.994696	99.207786	1.030424	0.398676	3.258139	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.109780	1.295284	1.670811	0.900000	0.094546	3.066645	1.229124
0	19100	-139.164216	-139.164216	12.462893	0.444246	33.076932	158.859087	107.663260	37.372757	1.393814	1.292665	2.791035	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.101968	1.014449	1.424781	0.900000	0.063024	2.270542	1.195447
0	19200	-142.066224	-142.066224	18.375015	0.872351	36.893873	113.081410	122.488510	8.537891	1.725342	1.588898	2.399266	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.106468	1.201392	1.368740	0.900000	0.070673	2.317554	1.149986
0	19300	-142.093195	-142.093195	11.003164	0.286990	44.530971	110.932339	142.701408	38.147438	1.679473	2.207519	2.395856	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.115289	1.161701	1.453657	0.900000	0.046630	2.876967	1.135079
0	19400	-141.288123	-141.288123	9.899687	0.471902	38.887359	127.966058	144.111499	84.867319	1.868541	2.271058	2.382598	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.105422	1.130757	1.243092	0.900000	0.059619	2.097117	1.158884
0	19500	-141.822045	-141.822045	9.899687	0.414089	42.084300	146.426390	121.967936	10.433133	2.217254	2.428054	2.168043	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.112392	1.100560	1.376711	0.900000	0.086409	2.411693	1.156995
0	19600	-142.667128	-142.667128	3.685471	4.444667	53.206593	146.426390	121.967936	10.433133	1.940824	2.597319	2.055226	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.104388	1.315803	1.396693	0.900000	0.089568	2.140277	1.152749
0	19700	-140.503055	-140.503055	5.420961	3.655356	46.975999	146.426390	132.492508	13.706751	1.684025	2.035390	2.155642	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.109917	1.179942	1.447669	0.900000	0.081079	2.923135	1.127839
0	19800	-142.980844	-142.980844	9.264832	1.251944	51.689265	173.333348	173.801763	54.673101	2.444622	2.711716	2.197546	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.120445	1.258438	1.455817	0.900000	0.045560	3.491107	1.106044
0	19900	-144.557025	-144.557025	12.551286	3.432558	51.268811	181.864914	165.858537	54.673101	1.848598	2.505776	1.850461	0.005000	0.048000	0.007000	0.001000	0.021000	0.037000	0.900000	0.116980	1.158281	1.787256	0.900000	0.016427	3.295102	1.128138
